[ERROR] 2021-03-26 10:39:40,362 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:07,211 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:08,971 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:09,885 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:11,290 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:11,931 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:13,310 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:14,427 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:15,414 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:17,430 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:18,245 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:19,879 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:21,043 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:21,965 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:24,634 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:24,979 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:27,210 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:27,989 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:30,322 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:30,998 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:33,860 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:34,036 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:36,267 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:37,044 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:39,447 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:40,051 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:42,701 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:43,058 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:45,460 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:46,064 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:48,385 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:49,071 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:51,116 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:52,079 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:54,761 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:55,085 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:51:57,688 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:51:58,090 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:00,949 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:01,098 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:03,757 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:04,103 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:06,547 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:07,110 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:09,566 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:10,118 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:12,750 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:13,125 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:15,167 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:16,132 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:18,677 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:19,140 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:21,612 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:22,145 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:24,176 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:25,151 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:27,800 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:28,158 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:30,383 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:31,164 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:33,312 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:34,170 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:52:36,332 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:52:37,178 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8081, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8081.
[ERROR] 2021-03-26 10:53:29,471 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:30,498 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8082, remoting exception: com.alipay.remoting.rpc.exception.InvokeTimeoutException: Rpc invocation timeout[responseCommand TIMEOUT]! the address is 127.0.0.1:8082.
[ERROR] 2021-03-26 10:53:32,909 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:35,046 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:37,471 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:40,256 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:42,262 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:44,436 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:47,037 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:49,235 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:51,243 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:53,506 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:55,903 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:53:58,192 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:00,224 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:02,635 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:05,247 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:08,084 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:10,141 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:12,451 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:14,940 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:17,668 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:19,689 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:22,078 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:24,534 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:27,540 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:30,117 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:32,816 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:35,345 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:37,584 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:39,850 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:42,839 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:45,120 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:47,934 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:50,622 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:53,531 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:55,589 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:54:58,113 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
[ERROR] 2021-03-26 10:55:00,356 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8083, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8083.
